	Name	Info	Website	Year of foundation	Category	Province	Town
16	Aislelabs	Provider of a data analytics platform for retailers. The company provides a platform designed to increase retail sales through big data analytics. Its cloud platform enables creation of automated campaigns as well as visibility across stores and actionable insights on customer behavior inside and outside retailers' stores.	http://www.aislelabs.com/	 			
17	Aiva Labs	Aiva lets small businesses and marketers easily create intelligent call to action campaigns on their website that get better at converting customers.	https://aivalabs.com/	 			
18	AIWorx	"applied research lab specialised in deep learning applied to ""industrial, space and defense"" needs"	http://novasyst.com/	Founded in 2011	Services (consultation, R&D)	QC	Québec
19	AIworx	"AIworx uses artificial intelligence to&nbsp;help you generate data, understand what’s hidden in it and act on it to unlock its potential.</p>"	aiworx.com	 			
20	Alexis AI	Alexis is your personal travel buddy, listening to you, helping you plan your travel, or suggesting travel options.	http://www.alexis.ai	 			
21	Algocian	Provider of a cloud-based video analytics platform. The company provides an image recognition technology that offers detection for smart home security monitoring and enables machine learning video analytics at the camera endpoint.	http://algocian.com/	Founded in 2015			
22	Algolux - Computational Imaging	Smart Optimization for Vision Systems	https://algolux.com/about/	Founded in 2016	Vision par ordinateur / Affichage intelligent	QC	Montréal
23	Allocadia Software	Provider of cloud based marketing software. The company helps marketers plan, budget, analyze and optimize return on investment by connecting to customer relationship management, finance, social media, resource management, and marketing automation systems.	https://www.allocadia.com/	Founded in 2015			
24	Ametros Learning	Ametros develops and markets intelligent, adaptive, and experiential digital learning tools.	https://ametroslearning.com/	Founded in 2016			
25	Ampify	We at Ampify are creating what we call an intelligent multi channel management platform. Our goal is to enable businesses to create, manage and target their ever growing distributed digital presence with the assistance of artificial intelligence. Ampify provides a single user with the power of a sophisticated multi channel marketing team.	http://signup.ampify.xyz	 			
26	Analytics 4 Life	Developing non-invasive, machine-learned medical imaging solutions on A4L's proprietary artificial intelligence platftorm, Agilyticsâ„¢	https://www.analytics4life.com/	Founded in 2016			
27	Angoss software	Angoss is a global leader in delivering predictive analytics to businesses looking to improve performance across risk, marketing and sales. With a suite of desktop, client-server and big data analytics software products and cloud solutions, Angoss delivers powerful approaches to turn information into actionable business decisions and competitive advantage. Many of the world’s leading financial services, insurance, telecommunications, retail, high tech, and healthcare organizations use Angoss predictive analytics software products and solutions to grow revenue, increase sales productivity and improve marketing effectiveness while reducing risk and cost.	http://www.angoss.com/	Founded in 2011			
28	Applied Brain Research	Makers of the world's first neuromorphic AI compiler (Nengo) and the world's largest functional brain model (Spaun).	http://appliedbrainresearch.com/	Founded in 2014			
29	ApSTAT Technologies	 	http://www.apstat.com/fr/index.php	 	Holding	QC	Montréal
30	ARA robotique	ARA Robotics is a Montreal-based company which develops an innovative, efficient UAV autopilot for industrial and commercial applications. ARA Robotics offers a variety of consulting and technological development services, all with innovation at its core basis. Their aim to establish a relation based on trust and reliability with our customers, this is why they created Business Solutions, a program of diverse expert consulting services to precisely meet enterprises’ professional needs. ARA Robotics’s Business Solution allows the company to develop customized aerial robotic solutions, adapted to each client’s specific needs. These solutions consist of equipment loans, custom-made UAS conception, sensors integration, payload integration, access to an API, advanced control algorithms development depending on the type of desired navigation.	http://ara-uas.com/	Founded in 2014	Robotique / Drone / Internet des objets	QC	Montréal
31	arcbees	Consulting and app, web and/or software development services for businesses looking to offer quality applications to their clients.	http://www.arcbees.com/	Founded in 2010	Services (consultation, R&D)	QC	Québec
32	Ark Paradigm	Ark Paradigm is regulatory intelligence service for those who need to report financial material free of errors and omissions.	http://www.arkparadigm.com/	Founded in 2015			
33	ars technologies	"project in a new area, outside of the mainstream products of ars technologies; distinguishing feature of the robot - voice input (recognition), voice output (syntheses), with artificial intelligence like scripted command/response; hardware features - flat surface movement, autonomous, wireless charging, grip, distance measurement, audio input &amp; output, video input, image output, orientation software features - interaction with a host, computer vision, speech syntheses, speech recognition, emotions display"	http://arstech.com/install/	 			
34	artiste-qb.net	Current chip technology approaches the limit when unwanted quantum effects such as leak currents can no longer be controlled. Quantum computing on the other hand leverages counter-intuitive quantum effects for superior computational performance far beyond conventional hardware.	artiste-qb.net	 			
35	Arvik Innovative Solutions	We are building a world-class mobile solution, enabling Entities (Individuals and Organizations) to effectively divulge pertinent information to their consumers and stakeholders.	https://www.arvikinnovation.com/	 			
36	Arvizio	"mixed reality (AR &amp; MR) tech to enhance your business &amp; enable you to tackle challenging problems via shared experience."	http://www.arvizio.io	Founded in 2016			
37	Askuity	Provider of retail analytics software. The company provides a retail analytics platform that combines cloud-based big data processing with analytics and mobile technology to enable product companies to grow and optimize their retail business (in terms of sales, marketing and supply chain) both in store and online outcomes.	https://www.askuity.com/	Founded in 2016			
38	Athlete Builder	Athlete development and training has changed in many ways over the last decade. However, the principles that define a great athlete have not. Heart, desire, drive and determination are still key to unlocking an athlete’s potential. Athlete Builder is the next step in the evolution of Sports Education. Not just because of what it offers. But because of what it enables coaches and players to do.	https://www.athletebuilder.com	Founded in 2015			
39	Atlants Embedded	Embedded technology combining signal processing with the best machine learning algorithms for your products	http://atlantsembedded.com	 	Services (consultation, R&D)	QC	Montréal
40	Atomic Reach	Provider of a content marketing platform for brands and bloggers. The company provides an intelligent writing platform with real-time, insights-based feedback to maximize content performance. It uses advanced mathematics, linguistic analysis and machine learning technology to identify and measure the impact of language on marketing communications.	https://www.atomicreach.com/	Founded in 2010			
41	Automat	Automat is helping companies use AI to talk to their customers, to understand them and serve them better. We're the first Conversational Marketing platform powered by artificial intelligence and we believe in a world where every company can have a personalized one-on-one conversation with every customer, fan, and follower.	http://www.automat.ai/	Founded in 2017	Agent conversationnel	QC	Montréal
42	Auvenir	Auvenir is on a mission to enable a Smarter Audit. Auvenir was created to help small and medium sized practitioners provide a better financial audit experience for their clients. We are a technology-forward company with deep experience in the accounting and audit world.	https://auvenir.com/	Founded in 2016			
43	Avant Garde Solutions	Avant-Garde has carved itself a niche through sound software consulting, efficient IT project management and effective end-user training services. We specialize in developing solutions in web-enabled, client/server, Big Data, RDBMS and ERP environments. From conceptualization to completion, we assist you in each step of the project with a full range of IT services. Our solutions provide you sustained IT support, enabling you to concentrate on your core competencies and mission-critical business strategies. We help you improve productivity, streamline operations and enhance performance. And in turn, help you be the leader you are.	http://avantgs.com/	 			
44	Avanteo Consulting	Avanteo Consulting provides digital health innovation and business strategy services that enable life sciences, software and health technology companies to transform healthcare challenges into positive real-world outcomes, provide added quality and efficiency to stakeholders, and maximize business opportunities and leadership.	https://www.avanteoconsulting.com/	Founded in 2015	Services (consultation, R&D)	QC	Montréal
45	Awake Labs	Awake Labs is building a platform to measure anxiety in real-time to support care for neurological disorders, starting with autism	http://www.awakelabs.com/	Founded in 2016			
46	Awakedata Labs	"Big Data Analytics Platform : Real-Time, Cloud-Based artificial intelligence for making real-time good business decisions. ; Big Data Visualization : Visualization will help data scientists understand what techniques might be best used and will help decision makers to see analytics presented visually. ; Video Image Analysis :The combination of deep learning and distributed computing to generate highly consistent and accurate results of the analysis in real-time. ; Internet of Things : Using IoT-based predictive analytics technologies to monitor connected machines and to predict machine degradation, and further to prevent potential failures."	http://www.awakedata.com/	 			
47	Awesense	Developer of a grid analytics and IoT platform intended to reduce non-technical losses. The company's grid analytics and IoT platform uses machine learning and analyzes electric grid losses and target theft, non-technical losses and other power drain, enabling utility companies to improve efficiency and increase safety.	https://www.awesense.com/	Founded in 2009			
48	Bay3000	project management training toronto, business analysis certification	https://bay3000.com/	 			
49	Beagle.ai	Provider of a technological system for reading contracts. The company uses artificial intelligence to read contracts, highlight key information and provide immediate understanding which allows both internal and external stakeholders to negotiate in real-time.	http://beagle.ai/	Founded in 2013			
50	Beanworks Solutions	Beanworks is a highly configurable, multi-company, accounting platform starting with our payables invoice processing application. We help reduce processing costs for mid-sized companies by automating expensive paper based manual processes currently in place in most companies. We smooth the path, remove the waste, and automate the workflow by marrying the filing cabinet with the accounting software.	https://www.beanworks.com/	 			
51	Beheld Technologies	Beheld is the new infrastructure for the arts industry. We provide one platform for artist, galleries and collectors to seamlessly interact and efficiently transact.	https://www.direct2artist.com/	 			
52	BenchSci	BenchSci is a machine learning platform that helps biomedical researchers find the best biological compounds for their experiments.	https://www.benchsci.com/	 			
53	Bernie A.I.	"Bernie A.I. is a personal matchmaker assistant. Bernie frees users' time by learning who they find attractive, and then works in the background to find genuine, interested matches on their favorite dating networks. Bernie uses a blend of facial recognition and neural networks to learn the ""type"" of person the user wants, and ensures the interest is mutual by sparking the conversation."	http://www.bernie.ai/	 			
54	Bigterminal	 	https://beta.bigterminal.com/	 			
55	Bio Conscious Tech - Docto	Docto is an app for Type I Diabetic kids and their parents to better manage blood glucose by seeing future values hours ahead of time.	http://www.docto.me/	 			
56	BioMindR	Developer of wireless signals and machine learning techniques designed to reshape biosignal monitoring for wearables. The company leverages wireless signals and machine learning to develop a contact-free, accurate and power efficient bio-signals sensing platform enabling athletes, coaches and clinicians to continuously monitor and better approach their hydration, glucose and fluid levels.	https://www.biomindr.com/	Founded in 2016	Santé / Télésanté	QC	Montréal
57	Bionic Labs	Bionic Labs Inc. is defining the future of identity verification and shopping experience, creating integrated software and hardware	http://www.bioniklabs.com	Founded in 2013			
58	Blackcat Informatics Inc.	Bespoke high performance computing and management consulting.	https://blackcatinformatics.ca/about/	Founded in 2014			
59	Blanc Labs	Blanc Labs offers professional services in agile prototyping, software engineering, and UX/UI. We partner with SME and enterprise-level clients to solve their business problems and help our clients with rapid prototyping, process automation, and cost savings.	http://blanclabs.com/	 			
60	Blockchain group	Blockchain Intelligence Group “BIG” headquartered in Vancouver, BC, Canada, has developed a Blockchain search engine with data processing and big data analytics. BIG plans to provide its Blockchain search products to large enterprise with significant data requirements in the financial, and eCommerce sectors globally.	https://blockchaingroup.io/	 			
61	Blockstream	"Blockstream is FinTech company that works to accelerate innovation in crypto currencies, open assets, and smart contracts.Its products include elements, an open-source platform for building and testing applications; and liquid, which is designed for bitcoin exchanges and high-speed transactions."	https://blockstream.com/	Founded in 2014	Chaîne de blocs	QC	Montréal
62	Bloomchat	BloomChat is a platform that connects you to your favourite local businesses through instant messaging. With BloomChat, you can message any business around you and receive a response in a few minutes.	https://www.facebook.com/bloomchat/	 			
63	Blue ice cloud	 	http://www.blueicecloud.com/	 			
64	Blue J Legal	TurboTax for the grey areas of tax law	http://www.bluejlegal.com/	 			
65	BlueDot	Provider of healthcare technologies for the clinical medicine and public health industries. The company offers technologies with big data analytics and visualization tools that help decision-makers prepare for and respond to infectious diseases.	https://bluedot.global/	Founded in 2008			
66	Bluewrist	Bluewrist offers innovative industrial automation solutions and products in the areas of robotics and machine vision. We strive to meet our customers' expectations to increase their efficiency, improve their production quality and reduce their operating costs through our leading technology, high technical performance, solution validation in production environments, competitive pricing and highly effective customer support.	http://bluewrist.com/	 			
67	Boardee	Boardee is a mobile app to save time for those who have a busy life yet still wants to be in the known at where they live or work. Boardee pulls multiple data sources and categorize them by distance and interests. User can quickly sort out interested information by couple of clicks(like Flipboard), or subscribe to a particular trigger such as distance, category or keyword then wait for notification(like IFTTT). This dynamic platform allows users to contribute contents, reply and like to help rank value of information. By combining location based information and social network features, we are providing a engaging platform for people to communicate. For example, people can find out events happening in campus, post lost and found pets in community or discuss neighborhood safety topics. Boardee also provide access for marketer to precise target their customers based on users location and interests, this will save printing unnecessary amount of flyers.	http://www.boardee.com/	Founded in 2016	X	X	X
68	bobsweep	bObsweep provides you with the best automatic floor cleaning vacuum and mop	http://www.bobsweep.com/	 			
69	Bookmark	Bookmark.com is a website creation tool for non-technical people. Our simple, drag-and-drop technology makes creating a professional website fast, easy and fun. Bookmark offers full online e-learning courses to enhance your business or career on the internet as well as a community forum where users can ask questions. We're different because Bookmark offers a number of fully functional web page sections that are typical to most websites such as content layouts, event registration, about us, testimonials, photo gallery and more. These sections called “Focus” are further customizable. Bottom line: even a newcomer with no coding experience can create a beautiful, fully functional website in very little time.	http://bookmark.com	Founded in 2014			
70	Bootkik	Bootkik is the world’s first entrepreneur-centric learning platform.</p>	https://www.bootkik.com	 			
71	Botler	An artificially intelligent immigration assistant.	https://botler.ai/	 	Services (consultation, R&D)	QC	Montréal
72	breaking data corp	We are a team of 20, with deep experience in mobile search, advertising and carrier-grade messaging solutions.	http://www.breakingdatacorp.com/	Founded in 2016			
73	BubbleHR	A next generation applicant tracking system (ATS) that empowers both parties to comprehensively demonstrate value prior to the interview.	http://www.bubblehr.com/	Founded in 2016			
74	BubbleHR	Powering informed and insightful hiring decisions by re-creating  the interview experience online.</p>	http://bubblehr.com/	 			
75	Bump	Bump is a location-based social music app that uses artificial intelligence and proximity networking to revolutionize music listening and social experiences. It's the tinder for music with the disappearing nature of Snapchat, allowing people to connect like never before. Users can create or join events, choose what music should be played, and vote either on what’s currently playing in real-time or on other users’ song selections via an intuitive swipe gesture. If the majority input that they don’t like the current song or they’re ready for something new (down-vote), Bump automatically advances to the next song determined by proprietary algorithms backed by machine learning. Everyone’s favourite music represents little pieces of them. When people get together, Bump allows these pieces to be connected and shared.	https://bump.social	 	X	X	X
76	C2RO	"C2RO is a cloud-based software robotics platform to offer real-time robotic vision &amp; multi-robot collaboration modules as SaaS for robots."	http://www.c2ro.com	Founded in 2016	Robotique / Drone / Internet des objets	QC	Montréal
77	C2RO Cloud Robotics	 	www.c2ro.com	 			
78	CadenceBot	CadenceBot helps your team move faster by organizing code reviews.	https://cadencebot.com	 			
79	Cadens Medical Imaging	The company has a leading position in computer-assisted medical imaging and provides software solutions facilitating image diagnosis.	http://www.cadensimaging.com/	 	Santé / Télésanté	QC	Montréal / Granby
80	Canopy Labs	Provider of lead optimization tools and customer models. The company enables businesses to understand customer feedback, decrease customer churn, increase customer lifetime value and deliver a personalized sales experience.	https://canopylabs.com/	Founded in 2012			
81	Caspy	Caspy is an AI Powered Chrome Extension. It mutes Inbox noise to help you stay on top of your important emails.	http://caspy.com/	Founded in 2016			
82	cassia	Cassia Research believes that seat belts shouldn't just be sold with Rolls-Royces, yet when it comes to investing, risk management is only available to investors with more than $10M. We help investment advisors pinpoint risk in real-time, and conquer market volatility by giving them the same tools used by the largest and smartest hedge funds. With risk forecasting, risk targeting, and volatility position sizing, readily available on the cloud, Cassia becomes every advisor's Chief Risk Officer, at a fraction of the cost.	https://www.cassia-research.com	Founded in 2014			
83	Cerebri AI	Cerebri AI provides AI and machine learning solutions to help enterprises grow top line revenues by giving them a 1:1 relationship with their customers. We do this by processing internal and external customer data, and by determining the dollar value a customer places on the “value” of a vendor, products, assets, etc. We also monetize a critical variable in any revenue situation, the customer’s ability to pay, so things such as up-selling opportunities can be clearly scoped and delivered.	http://cerebri.com	Founded in 2015			
84	Certimail	"Web based Canadian Antispam Law Conformity application for small &amp; medium enterprises"	http://www.certimail.ca	Founded in 2013	Marketing / Médias sociaux	QC	Montréal
85	Certn	Certn is the new standard in risk management tools for credit issuers and property managers to effectively evaluate their clients.	http://www.certn.co	Founded in 2016			
86	Chatkit	Provider of an artificial intelligence shopping assistant platform. The company using an online platform measures customer engagement on various messaging channels and effectiveness of various products in the market.	https://chatkit.com/	Founded in 2016			
87	Chillwall	Chillwall.com is a global social community for discovering and sharing local events in two clicks from local yoga classes to festivals.	https://chillwall.com/	Founded in 2014			
88	Churn Data	Machine learning, Analytics and Data Science consulting... using bleeding edge Machine learning techniques including Deep learning, Neural nets, Random Forest, Boosted trees, Support vector machine etc.	http://www.churndata.com	 			
89	CityZeen Inc	CityZeen™ platform is an Digital Identity for people. We work on a cognitive and sensitive interface to empower people. Our solution is an amazing experience to help you to manage an inestimable quantity of data in only a few seconds, delivering valuable information for your decision-making process. At CityZeen™ we support our members to improve reputation, value, and deliver a handy tool for personal insights.	http://www.cityzeen.co/	Founded in 2015			
90	Clarifai	Sophisticated machine learning to classify images/videos.</p>	https://clarifai.com/	 			
91	clearpath robotics	Clearpath provides self-driving vehicle technology and services to over 500 of the world’s most innova-tive brands. Proprietary hardware, software, and services are delivered through the company’s industrial and research divisions: Clearpath Robotics and OTTO Motors. Visit www.clearpath.ai for more information.	https://www.clearpathrobotics.com/	Founded in 2009			
92	Cloudburst marketing	Inbound marketing is a holistic methodology for online marketing with the core objective of lead generation. Marketing automation software is used to facilitate the methodology. Any B2B company with a sales team that relies on lead generation through its website will benefit from applying the inbound methodology.	http://www.cloudburstmarketing.ca/	 			
93	Cluep	Cluep is an artificially intelligent mobile ad-tech platform that helps brands connect with people emotionally through artificial intelligence. Powered by a patented text analysis and location intelligence engine, brands can target people based on what they are sharing on social media, how they are feeling and where they have been.	http://cluep.com	Founded in 2012			
94	Code of Law	Code of Law pulls the overhead out of making contracts, so lawyers can focus their attention on what matters. It makes onboarding new lawyers easier and contract writing for experienced lawyers faster.	http://codeoflaw.tech	 			
95	Cogilex Research and Development	Cogilex is a technology innovation company that specializes in the research and development of natural language processing (NLP) methods and tools for real-world applications such as search engines, text mining, and information extraction systems. Through a solid research program and deep expertise in the field, Cogilex has provided customized tools and services to its industrial partners worldwide.	http://cogilex.com	Founded in 1998	Santé / Télésanté	QC	Montréal
96	CognitiveChem	"Chemistry has improved our quality of life and made thousands of products possible. Unfortunately, this achievement has come at a price: our collective human health and the global environment are threatened. CognitiveChem aims to change that by providing cloud-based software to help chemists discover greener chemicals. We take the same artificial intelligence breakthroughs that power self-driving cars and online search and use it to empower the chemistry community in discovering novel organic molecules, reactions and synthetic pathways. The result is substantially fewer experiments &amp; greener chemicals, faster."	http://cognitivechem.com	 	Services (consultation, R&D)	QC	Montréal
97	CognitiveVR	Developer of 3D spatial analytics and user feedback tools designed to help organizations to quickly and easily display analytics on their users' sessions and collect deep metrics on users behavior and feedback. The company's 3D spatial analytics and user feedback tools offers enterprise grade data analytic, insights and analytic tools such as heat mapping, A/B testing and segmentation and measures user behavior, engagement and entertainment value, enabling organizations to collect users feedback.ngmail.co	http://cognitivevr.co/	Founded in 2015			
98	ColorXTC	The DPP solution provides printers and their prepress to efficiently and cost-effectively align presswork and proofs. The result is reduced make-ready times with less cost and wastage with all the stakeholders in the print production chain (printers, prepress, designers and brand owners) being able to monitor and confirm that print performance meets expectations.Instead of costly, dedicated, press fingerprinting the DPP solution gets the data needed to align press and proof during actual production press runs. Live production presswork is a profile of your actual day-to-day printing and so the data it provides is a more realistic and effective basis for building profiles to drive your press.	http://www.colorxtc.com	 			
99	Community Sift	"Cyber-bullying, vulgarity, public threat, exploitative behaviour; these are just some of the major problems for today's social web. By using Community Sift, our clients find the solutions to these and many other issues that plague their online communities. Our world-class tools are born out of nearly 20 years of industry experience. Backed by global research, we provide the underlying engine that makes today's social sites thrive. Our SaaS-based products disrupt current moderation practices by adding trust, context and sentiment to deeply enhance a company’s ability to grow their community and keep their users safe, happy and engaged. Community Sift combines machine learning with over a million human-reviewed markers, in 58 languages, to process billions of messages daily. Built on decades of battle-tested experience, our robust API is an out-of-the-box ready and completely scalable solution for today’s social web."	http://communitysift.com	 			
100	Consensus	Consensus is a system of collective governance, democracy upgraded for the modern age. It aims to build a better decision making tools and processes to run a country through the application of machine learning principles.	http://consensus.ai	Founded in 2016			
101	Contextere	Contextere is an Internet of Things (IOT) software company. They are delivering the 21st century industrial workforce using machine learning and intelligent context.	http://contextere.com	Founded in 2017			
102	Contextual Genomics	 	www.contextualgenomics.com	 			
103	Contiq	Contiq is on a quest to radically simplify and speed the complex experience of creating effective enterprise sales and marketing content that performs. We are creating a truly differentiated product which pushes the boundaries of what is possible with great software engineering, machine learning / deep learning algorithms and great UX.	http://www.contiq.com	Founded in 2016			
104	Copypants	Copypants automates monitoring, protection and monetization of copyrighted works online through a radical new approach to image searching and matching. Our monetization platform for photographers and graphic designers is enforced by creating transparency in the online ecosystem. We provide a list of all the places where a creator’s work is found as well as the ability to send a licensing request or a takedown notice with one click.	http://www.copypants.com	Founded in 2015			
105	Corporate IQ Solutions Inc.	An unpredictable workforce puts business continuity at risk. Are YOU capturing corporate memory?	https://www.ciq.cloud	Founded in 2016			
106	corstem	Corstem is a Montreal-based artificial intelligence software developer specialized in real-time medical data analysis and computer vision. Its AI-powered tools are setting the standard in dynamic cardiac analysis. Corstem enables a whole new level of efficiency and automation for diagnosis aid to save valuable physician and patient time.	http://corstem.ai/	Founded in 2016	Santé / Télésanté	QC	Montréal
107	Coveo	Coveo changes the world of work by upskilling people through search	http://www.coveo.com	Founded in 2005	Services (consultation, R&D)	QC	Montréal
108	crea.vision	Siloed technology has created disconnected interactions that make life more complicated than it should be. Our groundbreaking AI platform signals the arrival of a new user experience. Taking the Calm technology principles of non-intrusive technology to the next level, we deliver an experience in which technology serves you rather than you serving it.	http://www.crea.vision	 			
109	creaform	Creaform conçoit, fabrique et met en marché des technologies de mesure 3D portables, en plus de se spécialiser en services d’ingénierie 3D. L’entreprise offre des solutions novatrices dont la numérisation 3D, la rétroingénierie, le contrôle de la qualité, le contrôle non destructif, le développement de produit et la simulation. Ses produits et services s’adressent à une multitude de secteurs, dont l’automobile, l’aérospatiale, l’éducation et la recherche, la fabrication, l’industrie lourde, l’industrie pétrolière et gazière, la fabrication, la production d’énergie, les produits de consommation et les soins de santé.	https://www.creaform3d.com/en	 			
110	crosswing	"CrossWing operates R&amp;D lab developing innovative intellectual property enabling mass market Interactive Personal Robotics systems."	http://www.crosswing.com/	Founded in 2006			
111	Crowdcare	CrowdCare's Wysdom solution is the world’s most advanced AI based Digital Care product for connected devices. The Wysdom solution helps mobile carriers and IoT providers drastically increase customer satisfaction and lower customer service costs by delivering a great self-care experience directly to subscirbers.	http://crowdcare.com/	Founded in 2012			
112	Crowdsourced Testing	Founded by software testing company QA on Request, the Crowdsourced Testing company manages a fully automated crowdsourcing platform that connects web and software developers with expert software testers around the world.	https://crowdsourcedtesting.com	Founded in 2012	Assurance qualité	QC	Montréal
113	Crystal Cam Imaging	Crystal Cam Imaging, Inc. focuses on the manufacture and sales of remote underwater inspection cameras.	http://www.crystalcam.ca/contacts/	 			
114	CSI Flex	"Analytics &amp; Machine Learning for Manufacturing Equipment"	http://www.csiflex.com/	Founded in 2016	Analytiques industriels	QC	Montréal
115	Culturalite	Culturalite is a platform curating the world's cultural information on a daily basis.	http://www.culturalitemedia.com/	Founded in 2011			
116	Curatio	Curatio puts empowerment in the hands of the patient. We work across disease states to personalize the process of getting better. We deliver engagement and long-lasting connections. Our social health platform is a mobile SaaS solution that delivers private, disease-based peer networks and personalized health monitoring tools. The results are improved health outcomes for patients, increased medication and care plan adherence for doctors and pharmaceuticals, and systems cost savings for hospitals and payers.	https://curatio.me/	 			
117	Curiato Inc.	Curiato’s Pressure Redistribution System, Ceylon Systems, can prevent bedsores from occurring and improve patient care quality dramatically. Our patent pending approach is a combination of a smart mattress and patient management interface. The smart mattress actively detects the formation of possible bedsores by sensing temperature, pressure and humidity and comparing these readings with historical patient data. The information is then transferred to our patient management interface, where the data is stored, analyzed and visualized to present dynamic scheduling, vital care notifications and real time analysis. Leveraging Internet of Things technology, cloud computing, predictive analytics and artificial intelligence, Ceylon Systems is able to predict the formation of a possible bedsore and readjust the pressure to alleviate areas at high risk, while simultaneously notifying nurses of the changes to mitigate the risk.	http://curiato.com	Founded in 2016			
118	Cyclica	Developer of silico drug discovery and testing technologies using integrated biological data. The company offers a predictive analytics platform, which reduces the failure risk of drug discovery projects by allowing partners and clients to anticipate a drug candidate's safety profile prior to clinical trials by analyzing potential toxic events and side effects due to off-target interactions with therapeutic candidates. The company's platform generates a list of putative ligand-protein interactions by searching through a large proprietary database of all available structurally characterized proteins, and can be used to determine the molecular targets of drugs, to prioritize drug leads, to identify possible unknown side effects, and to support drug re-purposing.	https://cyclicarx.com/	Founded in 2010			
119	D-Wave Systems	We build super quantum computer that does not lag.	https://www.dwavesys.com	 			
120	Daisy Intelligence Corporation	Daisy Intelligence Corporation a Canadian-based artificial intelligence software-as-a-service company.	http://www.daisyintelligence.com/	Founded in 2003			
121	DarkVision	DarkVision Technologies Inc. was founded in 2013 by a group of experienced entrepreneurs that have expertise and a track record in developing and commercializing imaging technologies. The company has developed a new ultrasound-based imaging technology used to image the inside of oil and gas wells. With a clear picture of the inner working of their wells, oil and gas operators can make smart decisions that reduce operating costs, increase production, improve well integrity and minimize environmental impacts. Unlike camera technologies, DarkVision’s high resolution ultrasound imaging system is able to image through opaque fluids that have inhibited the widespread use of cameras and optics as a downhole diagnostics tool.	http://www.darkvisiontech.com	Founded in 2013			
122	darwinAI	DarwinAI's patent-pending AI-building engine automatically builds optimized deep learning AI solutions based on your needs, from cloud computing to edge computing	http://www.darwinai.ml/	 			
